country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1.02,1,1,1.3,1.52,1.2,1.52,1.4,1.52,1.4,1.6,1.7,1.6,1.64,1.69,1.73,1.77,1.82,1.86,1.91,1.95,1.99,2.04,2.08,2.12,2.17,2.21,2.26,2.3,2.34,2.39,2.43,2.47,2.52,2.56,2.6,2.65,2.69,2.74,2.78,2.82,2.84,2.14,2.78,2.97,2.58,2.58,2.58
Albania,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.84,2.84,2.84,2.84,2.87,2.89,2.91,2.93,2.96,2.98,3,3.02,3.05,3.07,3.09,3.11,3.14,3.16,3.18,3.15,3.12,3.57,3.57
Algeria,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,4.8,4.2,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.95,4.6,5.2,5.8,5.3,5,4.4,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
Andorra,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.04,2.78,2.52,2.27,2.01,1.75,1.49,1.54,2.05,2.46,2.86,3.14,3.01,3.12,2.78,2.44,2.44,2.44,2.44,2.44
Angola,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,4.8,6.7,5.3,5,5,4.4,4.42,4.42,4.42,4.42,4.42,4.42,4.42,2.8,3,2.99,2.92,2.84,2.77,2.69,2.62,2.54,2.8,3.06,3.31,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57
Antigua and Barbuda,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.9,3,3.5,2.9,3.2,3,2.6,2.4,2.66,2.66,2.9,3.7,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.58,3.4,3.43,3.46,3.49,3.31,3.14,2.96,2.78,2.6,2.43,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
Argentina,1.4,2.26,1.8,1.7,1.8,1.7,1,1.5,1.6,2,2.2,1.9,1.5,1.5,2.4,1.3,1.2,1.2,1.16,1.1,1,2.1,3.1,3.6,4.1,3.47,3.5,3.18,3.94,4.44,4.6,4.92,4.3,3.74,3.3,3.49,3.68,3.86,4.25,4.81,4.52,4.86,5.21,5.23,5.08,5.25,5.08,5.08
Armenia,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.67,2.67,1.7,1.84,2.22,2.27,2.33,2.38,2.43,2.48,2.54,2.59,2.64,2.7,2.75,2.8,2.85,2.91,2.96,2.55,2.1,2.69,2.45,2.45
Australia,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,5.1,5,5,5,5,5,5.1,5,4.9,4.7,4.6,4.5,4.4,4.4,4.5,5.2,5.2,4.89,5.2,4.87,4.75,4.79,4.83,4.84,4.86,4.87,4.89,4.9,4.79,4.66,4.6,4.8,5.08,4.85,5.05,4.95,4.84,5.03,5.03,5.03
Austria,3.2,3.4,3.5,3.5,3.6,4,4.2,4.1,4.3,4.3,4.3,4.8,4.9,4.8,4.8,4.9,5.1,5,4.8,4.7,4.6,4.8,4.7,4.7,4.99,5.1,4.9,5.29,5.67,5.82,5.37,5.47,5.35,5.27,5.14,5.09,5.07,5.01,5.07,5.55,5.4,5.4,5.21,5.28,5.17,5.21,5.21,5.21
