country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,85.4,86.1,84.5,79,76.8,78.2,75.4,72.8,79,73.3,74.5,72,73.1,78.4,77.4
Albania,64.6,63.3,64.1,60,54.4,52.5,52,54.4,50.5,42.6,48,48.6,53,55.2,55.7,56.7,58
Algeria,25.8,21.7,22.5,21.1,26.1,28.1,29.1,28.1,26.1,27.4,28.9,27.9,25.7,27.6,26.7,28.2,30.9
Andorra,47.9,47.4,48.1,51.1,52.9,50.5,50.9,50.7,48.4,46.6,45.4,44.4,43.9,43.3,42.8,42.4,41.7
Angola,27.3,45.1,49.7,48.5,46.9,42.3,30.7,28.4,21.7,15.5,19.3,18,17.6,21.3,26.9,33.5,35.2
Antigua and Barbuda,27,28.2,27.7,29.2,30.3,29.9,30.5,31.1,27.4,23.4,24.3,24.5,28.4,27.1,25.1,25.8,32.2
Argentina,29.1,29.5,29.9,28.2,28.6,33,31.5,29.2,25.7,22.5,19.7,18,14.2,14.5,14.6,13.5,15.8
Armenia,74.4,63.4,65.2,68.6,77.9,72.4,63,61.7,59.2,54.7,62.1,46.3,71.3,78.2,82.5,81.6,80.6
Australia,21,20.4,19.9,19.1,19.2,19.6,19.7,19,19,19.1,19.7,19.2,19.9,19.7,19.6,18.9,18.9
Austria,17.8,18.5,18.6,18.9,19.3,19.2,18.8,18.8,18.2,18.1,18.6,18.7,18.7,19.2,19.1,19,18.9
Azerbaijan,77.1,76.7,78.4,84.7,85.2,87.5,84.2,78.4,78.5,74.4,75.1,75.5,74.4,76.7,76.8,78,78.9
Bahamas,21.4,21.1,23.1,25.1,26.6,29.9,27.9,30.2,29.3,28.3,28.4,28.4,28.7,28.6,30.1,26.9,27.7
Bahrain,25.8,25.4,25.7,31.5,30.9,28.2,27.1,30.2,27.2,28.3,28.5,28.4,26.8,26.9,26.2,25.8,28
Bangladesh,61.1,65.1,62.3,62.4,62.5,64.9,65.1,65.8,67.2,67.2,67.2,67.4,67.5,68.5,69.9,71.8,71.9
Barbados,39.4,38.1,36.5,35.9,33.6,35.1,35.4,36.8,35.5,36.3,38.1,42.2,38.6,41.6,44.4,45.2,45.2
Belarus,16,20.7,23,20.2,19.2,21.8,24.4,25.8,29.8,30.9,29.2,33.6,30.8,33.8,34.9,36.2,35.8
Belgium,0,0,0,20.2,18.2,17.5,18.2,18.7,17.9,17.6,17.6,17.6,17.3,17.5,17.1,16.5,15.9
Belize,39.3,36.9,40.6,36.2,36.6,34,31.2,28.6,28.4,26.7,24,23.5,24.6,24.7,24.6,23.4,22.9
Benin,52.5,50.1,52.7,53.1,51.1,51.1,50.5,49,47.4,46.1,45.1,43.7,37.4,42.3,44,40.5,43.5
Bhutan,11.5,7.93,10.3,19,16.3,16.8,14.8,14.3,15.5,16.6,16.5,16.3,20.5,20.3,21.2,19.8,20.1
Bolivia,32.6,32.2,33,31.2,31.7,30.5,31.2,29.6,29.2,28.8,31.9,31,32.7,33.4,29.5,25.9,28
Bosnia and Herzegovina,39.6,38.9,36,30.4,42.7,45.2,45,44.3,43.9,30.6,30.1,29.5,29.2,29,28.7,28.8,28.7
Botswana,11.2,9.41,11.8,8.6,6.8,6.44,5.58,4.47,4.35,4.73,5.15,4.62,5.04,5.42,5.34,5.26,5.25
Brazil,46.5,47.8,38.4,37.1,35.7,35,34,32.8,30.5,31,43.8,43.1,43.7,44,44.6,44.7,43.6
Brunei,15.8,16.8,16.4,17.1,16.9,16.3,14.7,12.8,10.1,9.5,8.26,8.47,8.85,9.41,7.33,4.97,5.07
Bulgaria,40.4,43.7,39.8,38.1,39.2,38.9,42.6,42.6,42.6,44.4,43.1,44.5,47.7,47.2,45.8,47.7,48
Burkina Faso,42.2,42.7,38.3,33.4,30.4,30.7,30.9,27.4,31,31.4,30.2,33.1,34.3,34.2,34.1,36,31.4
Burundi,41.8,40.3,41.2,42,35.6,35.2,34.8,35.7,36,31.6,28.2,25.7,22.4,20.9,38.2,41.5,30.5
Cambodia,68.7,62.2,60.5,61.6,56.3,60.9,52.3,48.7,51.1,50.5,51.9,59.7,60.5,61.2,58.6,57.3,58.6
Cameroon,77.4,74.9,72.9,73,76,76.6,77.1,76.7,78.8,74.4,71.7,51.4,70.3,71.4,70.9,69.7,69.5
Canada,16.6,15.9,15.9,15.3,15.3,15.4,15.8,15.5,15.4,15,15.4,14.7,14.6,14.5,14.5,14.5,14.6
Cape Verde,25.3,23.3,23.5,24.2,23.8,24.6,23.8,22.9,24.5,24.2,28.1,25.9,25,24.7,26.2,24,26
Central African Republic,41.2,48.3,43.9,46.2,50.4,42.6,42.9,38.5,42.6,39.9,46.4,44.8,43.3,48.7,41.2,30,43.1
Chad,56.2,58.3,64.7,47.4,51,56.2,63.7,64.9,68.8,65,67.6,60.8,64.1,49.7,52.3,56.4,61.2
Chile,42.8,42.6,42.5,42.8,41.8,42.5,40.7,39.2,37.4,34.6,34.5,34.5,33.4,33.6,34.3,34.5,34.8
China,60.1,64.3,62.9,60.7,58.8,57.7,56,51.3,47.4,43.5,40.8,40.3,39.2,38.2,36.6,35.1,35.9
Colombia,13.2,13.5,11.7,8.49,15.1,17.9,19.5,21.5,23.5,20.5,20.9,21.2,21.5,20.9,20.4,19.6,20.2
Comoros,82,83.6,78.7,79.2,79.9,80.1,80.6,81,80.9,81.4,78.7,70.4,78,76.3,76.5,75.2,73.1
"Congo, Dem. Rep.",50.4,69.6,68.4,66.1,70.4,68.2,67.6,63.5,49.8,45.4,37,38.8,39.6,39.4,38.7,36.8,37.4
"Congo, Rep.",52.7,45.8,61.4,61.4,55.6,52,48.7,49.2,37.9,50.4,42.2,41.1,29.7,30.7,31.2,32.5,49.7
Costa Rica,31.6,31.6,30.7,30.8,32.1,32.8,31.1,30.9,29.5,26.4,25.4,26.2,25,23.8,24.7,22.7,22.1
Cote d'Ivoire,58.5,55,49.1,52.8,55.3,60.4,62.2,63.7,61.3,59.2,58.1,60.2,53.7,56.9,52.3,36,40.1
Croatia,13.9,14.4,18.6,16.6,18.1,13.4,13.3,12.4,14.5,13.7,14,12.1,11.5,12.8,15.7,15.5,15.4
